alpha,phi,h
0.928571,0.462300,0.106400
0.171429,0.414450,0.409700
0.228571,0.325250,0.529200
0.057143,0.043600,0.623000
0.971429,0.521800,0.093000
0.857143,0.702750,0.666800
0.442857,0.028350,0.971200
0.428571,0.090600,0.690200
0.500000,0.044050,0.949000
0.828571,0.378750,0.961300
0.185714,0.442100,0.561100
0.114286,0.777850,0.642200
0.014286,0.334050,0.774400
0.771429,0.945250,0.511300
0.257143,0.812550,0.763800
0.871429,0.245600,0.119100
0.700000,0.611650,0.501600
0.900000,0.043000,0.988900
0.500000,0.597250,0.619900
0.042857,0.179900,0.892000
0.457143,0.620850,0.305000
0.942857,0.883050,0.243000
0.771429,0.876300,0.120500
0.671429,0.526050,0.995400
0.385714,0.588700,0.758700
0.171429,0.288200,0.219400
0.900000,0.108450,0.952500
0.714286,0.798500,0.015900
0.385714,0.967900,0.740300
0.371429,0.025200,0.414600
0.357143,0.367300,0.356800
0.400000,0.692650,0.572700
0.842857,0.705850,0.718500
0.828571,0.781500,0.350800
0.257143,0.722550,0.236400
0.428571,0.392250,0.655500
0.357143,0.105500,0.701100
0.114286,0.116000,0.708200
0.528571,0.134900,0.247100
0.214286,0.392800,0.987200
0.100000,0.305900,0.305900
0.157143,0.342450,0.709400
0.028571,0.799950,0.952800
0.257143,0.308650,0.901100
0.128571,0.328500,0.887400
0.628571,0.580350,0.013300
0.500000,0.224750,0.790400
0.828571,0.552300,0.779000
0.757143,0.523600,0.689400
0.257143,0.306050,0.755300
0.071429,0.184200,0.274400
0.128571,0.176050,0.849000
0.771429,0.380200,0.965700
0.657143,0.760100,0.961000
0.085714,0.505600,0.311300
0.085714,0.555600,0.836600
0.542857,0.723700,0.391400
0.585714,0.558750,0.790400
0.185714,0.582800,0.083700
0.471429,0.830750,0.989300
0.185714,0.646050,0.404900
0.671429,0.942600,0.550700
0.614286,0.500700,0.807600
0.514286,0.024250,0.704000
0.014286,0.638450,0.082200
0.528571,0.705650,0.347300
0.071429,0.690600,0.117600
0.071429,0.771650,0.409000
0.814286,0.930350,0.980200
0.000000,0.641700,0.356500
0.314286,0.892600,0.268500
0.585714,0.222050,0.515100
0.971429,0.252150,0.105800
0.671429,0.542450,0.681600
0.042857,0.653500,0.031700
0.285714,0.301900,0.713500
0.685714,0.088500,0.003800
0.371429,0.584650,0.432400
0.171429,0.687750,0.732200
0.528571,0.183600,0.672800
0.557143,0.484600,0.321600
0.628571,0.492700,0.806500
0.585714,0.260550,0.795000
0.100000,0.359100,0.287700
0.557143,0.157100,0.529900
0.428571,0.636000,0.522100
0.371429,0.751700,0.206900
0.628571,0.391250,0.443000
0.800000,0.687600,0.725200
0.742857,0.905100,0.402700
